Date,Open,High,Low,Close,Adj Close,Volume
2018-06-18,80.980003,80.980003,80.330002,80.464996,80.464996,22303
2018-06-19,79.860001,80.169998,79.760002,80.040001,80.040001,9176
2018-06-20,80.629997,80.699997,80.300003,80.449997,80.449997,5528
2018-06-21,80.769997,80.769997,79.830002,79.830002,79.830002,12954
2018-06-22,79.809998,80.074997,79.779999,80.074997,80.074997,3320
2018-06-25,79.930000,79.930000,78.404999,78.404999,78.404999,5535
2018-06-26,78.910004,79.000000,78.599998,78.684998,78.684998,24652
2018-06-27,78.779999,79.570000,78.339996,79.434998,79.434998,7859
2018-06-28,79.230003,79.330002,78.599998,78.820000,78.820000,5027
2018-06-29,79.309998,79.449997,78.900002,79.129997,79.129997,9594
2018-07-02,78.540001,78.970001,78.349998,78.959999,78.959999,26648
2018-07-03,79.099998,79.440002,79.010002,79.180000,79.180000,7428
2018-07-04,78.889999,79.120003,78.800003,79.080002,79.080002,2989
2018-07-05,78.720001,79.190002,78.720001,78.995003,78.995003,11724
2018-07-06,79.279999,79.419998,78.970001,79.419998,79.419998,4512
2018-07-09,79.910004,80.080002,79.800003,80.004997,80.004997,1364
2018-07-10,80.279999,80.570000,80.199997,80.404999,80.404999,10429
2018-07-11,79.730003,79.970001,79.690002,79.940002,79.940002,7373
2018-07-12,80.209999,80.459999,80.029999,80.404999,80.404999,5048
2018-07-13,80.980003,81.000000,80.820000,80.875000,80.875000,3335
2018-07-16,80.820000,80.879997,80.410004,80.440002,80.440002,21536
2018-07-17,80.349998,80.809998,80.209999,80.760002,80.760002,6057
2018-07-18,81.330002,81.330002,80.989998,81.269997,81.269997,6759
2018-07-19,81.339996,81.370003,81.139999,81.370003,81.370003,7674
2018-07-20,81.160004,81.239998,80.599998,80.980003,80.980003,10167
2018-07-23,80.900002,80.900002,80.510002,80.830002,80.830002,8883
2018-07-24,81.320000,81.360001,81.040001,81.300003,81.300003,4984
2018-07-25,81.160004,81.379997,80.919998,81.379997,81.379997,5532
2018-07-26,81.629997,82.260002,81.629997,82.209999,82.209999,9966
2018-07-27,82.260002,82.500000,82.050003,82.050003,82.050003,17613
2018-07-30,81.639999,81.650002,81.180000,81.180000,81.180000,5344
2018-07-31,80.320000,80.769997,80.230003,80.660004,80.660004,4812
2018-08-01,80.779999,80.779999,80.550003,80.730003,80.730003,9769
2018-08-02,80.470001,80.809998,80.300003,80.809998,80.809998,2713
2018-08-03,81.220001,81.430000,81.120003,81.349998,81.349998,6018
2018-08-06,81.820000,81.839996,81.430000,81.720001,81.720001,8588
2018-08-07,81.889999,82.220001,81.790001,81.839996,81.839996,31139
2018-08-08,81.610001,81.940002,81.519997,81.660004,81.660004,4365
2018-08-09,81.690002,82.019997,81.650002,81.930000,81.930000,22060
2018-08-10,81.919998,82.089996,81.669998,81.900002,81.900002,8322
2018-08-13,81.720001,81.930000,81.610001,81.610001,81.610001,11078
2018-08-14,81.930000,82.190002,81.750000,82.190002,82.190002,2823
2018-08-15,82.309998,82.379997,81.309998,81.519997,81.519997,6735
2018-08-16,81.650002,81.900002,81.629997,81.860001,81.860001,4377
2018-08-17,81.940002,81.940002,81.410004,81.660004,81.660004,4914
2018-08-20,81.940002,82.080002,81.680000,81.839996,81.839996,7478
2018-08-21,81.510002,81.739998,81.480003,81.620003,81.620003,20975
2018-08-22,81.220001,81.269997,80.910004,81.260002,81.260002,6293
2018-08-23,81.339996,81.379997,81.110001,81.110001,81.110001,3197
2018-08-24,81.300003,81.410004,81.080002,81.360001,81.360001,19643
2018-08-27,81.750000,81.750000,81.480003,81.610001,81.610001,13691
2018-08-28,81.739998,81.739998,81.440002,81.440002,81.440002,7562
2018-08-29,81.839996,81.919998,81.779999,81.919998,81.919998,3677
2018-08-30,81.760002,81.989998,81.650002,81.720001,81.720001,6710
2018-08-31,81.620003,81.820000,81.440002,81.779999,81.779999,4524
2018-09-03,81.949997,81.959999,81.860001,81.910004,81.910004,7047
2018-09-04,82.139999,82.139999,81.459999,81.500000,81.500000,4586
2018-09-05,81.279999,81.309998,80.449997,80.449997,80.449997,7718
2018-09-06,80.529999,80.750000,80.330002,80.330002,80.330002,6299
2018-09-07,80.370003,80.650002,80.220001,80.650002,80.650002,3696
2018-09-10,80.839996,80.870003,80.709999,80.830002,80.830002,6692
2018-09-11,80.820000,80.900002,80.540001,80.839996,80.839996,4944
2018-09-12,81.050003,81.160004,80.699997,80.900002,80.900002,2597
2018-09-13,81.010002,81.220001,80.879997,80.879997,80.879997,6080
2018-09-14,81.169998,81.400002,81.040001,81.300003,81.300003,2400
2018-09-17,81.370003,81.370003,81.070000,81.169998,81.169998,5426
2018-09-18,81.070000,81.500000,81.070000,81.500000,81.500000,13030
2018-09-19,81.500000,81.760002,81.320000,81.690002,81.690002,3696
2018-09-20,81.559998,81.680000,81.370003,81.680000,81.680000,2784
2018-09-21,81.849998,82.099998,81.690002,82.099998,82.099998,3555
2018-09-24,81.790001,81.790001,81.360001,81.440002,81.440002,11090
2018-09-25,81.580002,81.790001,81.580002,81.720001,81.720001,4374
2018-09-26,81.870003,81.949997,81.660004,81.949997,81.949997,2407
2018-09-27,81.900002,82.419998,81.599998,82.389999,82.389999,8912
2018-09-28,82.440002,82.550003,82.279999,82.419998,82.419998,8037
2018-10-01,83.150002,83.160004,82.769997,83.160004,83.160004,6599
2018-10-02,82.889999,82.930000,82.739998,82.750000,82.750000,5536
2018-10-04,82.919998,82.930000,82.139999,82.220001,82.220001,6645
2018-10-05,82.290001,82.300003,81.739998,81.739998,81.739998,18194
2018-10-08,81.720001,81.790001,81.320000,81.320000,81.320000,10007
2018-10-09,81.639999,81.739998,81.370003,81.629997,81.629997,10804
2018-10-10,81.489998,81.510002,79.879997,79.910004,79.910004,11400
2018-10-11,78.279999,78.529999,77.599998,77.739998,77.739998,5735
2018-10-12,77.989998,78.190002,77.629997,77.660004,77.660004,7963
2018-10-15,77.559998,78.010002,77.139999,78.010002,78.010002,10034
2018-10-16,77.550003,78.739998,77.550003,78.739998,78.739998,12013
2018-10-17,79.349998,79.389999,78.510002,78.860001,78.860001,7512
2018-10-18,79.129997,79.230003,78.339996,78.339996,78.339996,2718
2018-10-19,78.709999,78.849998,78.449997,78.480003,78.480003,1941
2018-10-22,78.379997,78.480003,77.690002,77.980003,77.980003,9215
2018-10-23,77.110001,77.190002,76.389999,76.589996,76.589996,7480
2018-10-24,76.989998,77.959999,76.769997,76.769997,76.769997,3831
2018-10-25,75.820000,76.930000,75.790001,76.820000,76.820000,12070
2018-10-26,76.300003,76.320000,75.300003,76.110001,76.110001,5612
2018-10-29,76.050003,77.279999,76.050003,76.639999,76.639999,4398
2018-10-30,76.349998,76.690002,75.900002,76.570000,76.570000,8172
2018-10-31,77.650002,78.419998,77.510002,78.089996,78.089996,5558
2018-11-01,77.800003,78.080002,77.660004,78.080002,78.080002,3834
2018-11-02,78.629997,78.839996,77.989998,77.989998,77.989998,13422
2018-11-05,78.070000,78.400002,77.980003,78.150002,78.150002,61028
2018-11-06,78.459999,78.510002,78.120003,78.360001,78.360001,3915
2018-11-07,78.629997,79.269997,78.629997,79.269997,79.269997,5922
2018-11-08,79.930000,79.980003,79.629997,79.809998,79.809998,11194
2018-11-09,79.949997,79.949997,79.489998,79.709999,79.709999,12611
2018-11-12,80.279999,80.379997,79.309998,79.309998,79.309998,62599
2018-11-13,79.370003,79.570000,78.900002,79.470001,79.470001,105905
2018-11-14,78.760002,79.519997,78.589996,78.660004,78.660004,4467
2018-11-15,78.660004,78.660004,78.000000,78.410004,78.410004,17363
2018-11-16,78.900002,78.900002,78.019997,78.370003,78.370003,23553
2018-11-19,78.790001,78.849998,77.620003,77.620003,77.620003,10793
2018-11-20,77.099998,77.199997,76.320000,76.629997,76.629997,18283
2018-11-21,76.889999,77.470001,76.720001,77.339996,77.339996,3613
2018-11-22,76.940002,76.940002,76.510002,76.510002,76.510002,6361
2018-11-23,76.820000,77.290001,76.680000,77.290001,77.290001,3325
2018-11-26,77.540001,78.150002,77.540001,77.839996,77.839996,7515
2018-11-27,78.379997,78.459999,77.830002,78.320000,78.320000,4923
2018-11-28,78.830002,78.930000,78.699997,78.730003,78.730003,2234
2018-11-29,79.230003,79.250000,78.889999,78.980003,78.980003,10291
2018-11-30,79.099998,79.580002,78.760002,79.419998,79.419998,3958
2018-12-03,81.260002,81.260002,80.180000,80.379997,80.379997,7665
2018-12-04,80.059998,80.080002,79.739998,79.849998,79.849998,18500
2018-12-05,78.650002,78.820000,78.650002,78.730003,78.730003,6172
2018-12-06,77.809998,77.809998,75.989998,76.290001,76.290001,10573
2018-12-07,77.220001,78.019997,76.809998,76.809998,76.809998,9530
2018-12-10,76.080002,76.309998,75.260002,75.260002,75.260002,13819
2018-12-11,76.300003,77.589996,76.099998,77.019997,77.019997,12190
2018-12-12,76.949997,77.750000,76.949997,77.559998,77.559998,13000
2018-12-13,77.489998,77.580002,76.940002,77.209999,77.209999,12874
2018-12-14,76.570000,77.000000,76.459999,76.860001,76.860001,8310
2018-12-17,76.449997,76.449997,75.570000,75.680000,75.680000,20906
2018-12-18,75.099998,75.190002,74.730003,74.849998,74.849998,15962
2018-12-19,74.500000,74.750000,74.349998,74.559998,74.559998,24395
2018-12-20,73.209999,73.400002,71.599998,72.820000,72.820000,16514
2018-12-21,72.510002,72.900002,72.180000,72.730003,72.730003,12655
